order_id,customer_id,order_date,status,item_id,product_id,quantity,product_name,category,unit_price,customer_name,email,city,registration_date,revenue
1,1,2024-01-05,completed,1,1,2,Wireless Bluetooth Earbuds,Electronics,45.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,90.0
1,1,2024-01-05,completed,2,6,1,Cotton T-Shirt,Clothing,18.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,18.0
1,1,2024-01-05,completed,3,26,3,Arabic Coffee Blend 500g,Food & Beverage,18.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,54.0
2,2,2024-01-06,completed,4,17,1,Python Data Science Handbook,Books,55.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,55.0
2,2,2024-01-06,completed,5,21,2,Yoga Mat,Sports,28.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,56.0
4,4,2024-01-08,completed,9,8,1,Running Shoes,Clothing,78.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,78.0
4,4,2024-01-08,completed,10,15,2,Cotton Bed Sheet Set,Home & Garden,48.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,96.0
4,4,2024-01-08,completed,11,22,1,Resistance Band Set,Sports,19.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,19.0
5,5,2024-01-09,completed,12,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Khaled Nasser,khaled.nasser@email.com,Unknown,2023-02-18,32.0
5,5,2024-01-09,completed,13,27,4,Jordanian Olive Oil 1L,Food & Beverage,24.0,Khaled Nasser,khaled.nasser@email.com,Unknown,2023-02-18,96.0
6,6,2024-01-10,shipped,14,10,2,Leather Belt,Clothing,30.0,Rania Al-Khatib,rania.khatib@email.com,Aqaba,2023-03-01,60.0
6,6,2024-01-10,shipped,15,16,1,Introduction to Algorithms,Books,85.0,Rania Al-Khatib,rania.khatib@email.com,Aqaba,2023-03-01,85.0
7,7,2024-01-11,completed,16,5,1,Webcam HD 1080p,Electronics,55.0,Yousef Haddad,yousef.haddad@email.com,Salt,2023-03-12,55.0
7,7,2024-01-11,completed,17,11,3,Ceramic Plant Pot,Home & Garden,15.0,Yousef Haddad,yousef.haddad@email.com,Salt,2023-03-12,45.0
7,7,2024-01-11,completed,18,29,1,Za'atar Spice Mix 250g,Food & Beverage,9.5,Yousef Haddad,yousef.haddad@email.com,Salt,2023-03-12,9.5
8,8,2024-01-12,completed,19,7,1,Denim Jeans,Clothing,52.0,Noor Al-Jabari,noor.jabari@email.com,Madaba,2023-03-20,52.0
8,8,2024-01-12,completed,20,14,1,Kitchen Knife Set,Home & Garden,65.0,Noor Al-Jabari,noor.jabari@email.com,Madaba,2023-03-20,65.0
9,9,2024-01-13,processing,21,2,3,USB-C Charging Cable,Electronics,8.5,Tariq Obeidat,tariq.obeidat@email.com,Amman,2023-04-02,25.5
9,9,2024-01-13,processing,22,20,1,Clean Code,Books,42.0,Tariq Obeidat,tariq.obeidat@email.com,Amman,2023-04-02,42.0
